Nazwa miejscowości ;miasta
Bedlno-Żbiwiec;bedlno-żbiwiec
Bednarczykowie;bednarczykowie
Bednarka;bednarka
Bednarki;bednarki
Bednarowo;bednarowo
Bednarskie;bednarskie
Bednarszczówka;bednarszczówka
Bednary;bednary
Bednary przy Kolei;bednary przy kolei
Bednary-Kolonia;bednary-kolonia
Bednarze;bednarze
Bednarzec;bednarzec
Bednarzowa;bednarzowa
Bednarzówka;bednarzówka
Bedoń Przykościelny;bedoń przykościelny
Bedoń-Wieś;bedoń-wieś
Begno;begno
Bejdy;bejdy
Bejsce;bejsce
Bejzlerówka;bejzlerówka
Beka;beka
Bekacze;bekacze
Bekanówka;bekanówka
Bekasowo;bekasowo
Bekiesza;bekiesza
Beksza;beksza
Belcikówka;belcikówka
Belców;belców
Beleń;beleń
Beleń-Kolonia;beleń-kolonia
Beleńskie Huby;beleńskie huby
Belęcin;belęcin
Belfont;belfont
Belfort;belfort
Belgrad;belgrad
Belin;belin
Belina;belina
Belna;belna
Belno;belno
Belny;belny
Belonówka;belonówka
Belsk Duży;belsk duży
Belsk Mały;belsk mały
Belweder;belweder
Belzatka;belzatka
Bełch;bełch
Bełchatów;bełchatów
Bełchatówek;bełchatówek
Bełchów;bełchów
Bełchówka;bełchówka
Bełcz;bełcz
Bełcz Górny;bełcz górny
Bełcz Mały;bełcz mały
Bełcz Wielki;bełcz wielki
Bełcząc;bełcząc
Bełczączka;bełczączka
Bełcze;bełcze
Bełczna;bełczna
Bełczyna;bełczyna
Bełda;bełda
Bełdno;bełdno
Bełdów;bełdów
Bełdów Poduchowny;bełdów poduchowny
Bełdówek;bełdówek
Bełdów-Krzywa Wieś;bełdów-krzywa wieś
Bełdyki;bełdyki
Bełek;bełek
Bełk;bełk
Bełki;bełki
Bełkowiec;bełkowiec
Bełkowo;bełkowo
Bełskie Stawy;bełskie stawy
Bełszewo;bełszewo
Bełszewo-Kolonia;bełszewo-kolonia
Bełsznica;bełsznica
Bełtno;bełtno
Bełtówka;bełtówka
Bełwin;bełwin
Bełzów;bełzów
Bełżec;bełżec
Bełżyce;bełżyce
Bemowizna;bemowizna
Bemowo;bemowo
Bemowo Piskie;bemowo piskie
Bemowskie;bemowskie
Bendorzyn;bendorzyn
Benedykówka;benedykówka
Benenard;benenard
Benewicze;benewicze
Beniaminów;beniaminów
Benice;benice
Benignowo;benignowo
Benignów;benignów
Beniowa;beniowa
Beniów;beniów
Beniówka;beniówka
Benkowo;benkowo
Benowo;benowo
Beradz;beradz
Berchynek;berchynek
Berdech;berdech
Berdecha;berdecha
Berdechów;berdechów
Berdel;berdel
Berdelówka;berdelówka
Berdychowo;berdychowo
Berdychów;berdychów
Berdyszcze;berdyszcze
Berdyszów;berdyszów
Berejów;berejów
Bereki;bereki
Berendowice;berendowice
Beresie;beresie
Beresie Duże;beresie duże
Beresie Małe;beresie małe
Bereska;bereska
Berest;berest
Berestki;berestki
Beresztek;beresztek
Bereść;bereść
Bereśnik;bereśnik
Bereza;bereza
Berezka;berezka
Berezów;berezów
Berezówka;berezówka
Berezyszcze;berezyszcze
Bereźnica-Kolonia;bereźnica-kolonia
Bereżki;bereżki
Bereżnica;bereżnica
Bereżnica Niżna;bereżnica niżna
Bereżnica Wyżna;bereżnica wyżna
Berędy;berędy
Bergreniza;bergreniza
Berkanowo;berkanowo
Berkienek;berkienek
Berkowizna;berkowizna
Berkowo;berkowo
Berkówka;berkówka
Berkówki;berkówki
Berlin;berlin
Berlinek;berlinek
Berlinka;berlinka
Bernacice;bernacice
Bernacice Górne;bernacice górne
Bernacki Most;bernacki most
Bernadowo;bernadowo
Bernadówka;bernadówka
Bernardowo;bernardowo
Bernardów;bernardów
Bernardówka;bernardówka
Bernardynka;bernardynka
Bernasiowa;bernasiowa
Bernasiówka;bernasiówka
Bernatka;bernatka
Bernatówka;bernatówka
Berno;berno
Bernów;bernów
Bernów-Kolonia;bernów-kolonia
Berówka;berówka
Berskie;berskie
Berskówka;berskówka
Bertowo;bertowo
Bertyny;bertyny
Bery;bery
Berzyna;berzyna
Berzyna-Las;berzyna-las
Berżałowce;berżałowce
Berżniki;berżniki
Besarabówka;besarabówka
Besek;besek
Besiekiery;besiekiery
Besiekiery-Kolonia;besiekiery-kolonia
Besiekierz Nawojowy;besiekierz nawojowy
Besiekierz Rudny;besiekierz rudny
Beskid;beskid
Beskidek;beskidek
Besko;besko
Bessów;bessów
Bestra Suka;bestra suka
Bestwin;bestwin
Bestwina;bestwina
Bestwinka;bestwinka
Bestwiny;bestwiny
Beszowa;beszowa
Beszyce Dolne;beszyce dolne
Beszyce Górne;beszyce górne
Beszyn;beszyn
Beszynek;beszynek
Beszyno;beszyno
Beśnica;beśnica
Betkowo;betkowo
Betleem;betleem
Betleje;betleje
Betlejem;betlejem
Betlejówka;betlejówka
Bezednia;bezednia
Bezek;bezek
Bezek Dębiński;bezek dębiński
Bezek-Kolonia;bezek-kolonia
Bezgłowie;bezgłowie
Bezledy;bezledy
Bezławecki Dwór;bezławecki dwór
Bezławki;bezławki
Bezmiechowa Dolna;bezmiechowa dolna
Bezmiechowa Górna;bezmiechowa górna
Bezmoście;bezmoście
Beznatka;beznatka
Beznazwa;beznazwa
Bezpraw;bezpraw
Bezrzecze;bezrzecze
Bezula;bezula
Bezwola;bezwola
Beźnik;beźnik
Bęben;bęben
Bębenek;bębenek
Bębenki;bębenki
Bębło;bębło
Bębnikąt;bębnikąt
Bębnowo;bębnowo
Bębnów;bębnów
Bębnówko;bębnówko
Bębny;bębny
Bębny Dolne;bębny dolne
Bębny Górne;bębny górne
Bęczarka;bęczarka
Bęczkowice;bęczkowice
Bęczkowice Poduchowne;bęczkowice poduchowne
Bęczków;bęczków
Bęczno;bęczno
Bęczyn;bęczyn
Bęczynek;bęczynek
Bęćkowo;bęćkowo
Będargowiec;będargowiec
Będargowo;będargowo
Będgoszcz;będgoszcz
Będkowice;będkowice
Będkowo;będkowo
Będkowszczyzna;będkowszczyzna
Będków;będków
Będków-Kolonia;będków-kolonia
Będlewo;będlewo
Będlino;będlino
Będogoszcz;będogoszcz
Będomin;będomin
Będominek;będominek
Będowskie;będowskie
Będów;będów
Będusz;będusz
Będzelin;będzelin
Będzeń;będzeń
Będziaki;będziaki
Będziechowo;będziechowo
Będziechów;będziechów
Będziemyśl;będziemyśl
Będzienica;będzienica
Będzieszewo;będzieszewo
Będzieszyn;będzieszyn
Będzieszyna;będzieszyna
Będzimierz;będzimierz
Będzin;będzin
Będzinko;będzinko
Będzino;będzino
Będziszewo;będziszewo
Będzitowo;będzitowo
Będzitowskie Huby;będzitowskie huby
Będzitówek;będzitówek
Będzwyn;będzwyn
Będzymin;będzymin
Będzyn;będzyn
Będźmierowice;będźmierowice
Bęglewo;bęglewo
Bęsia;bęsia
Bęściów;bęściów
Bętlewo;bętlewo
Biadacz;biadacz
Biadaczek;biadaczek
Biadaczew;biadaczew
Biadaczka;biadaczka
Biadaczów;biadaczów
Biadaki;biadaki
Biadasów Drugi;biadasów drugi
Biadasów Pierwszy;biadasów pierwszy
Biadaszek;biadaszek
Biadaszka;biadaszka
Biadaszki;biadaszki
Biadawka;biadawka
Biadki;biadki
Biadoliny Radłowskie;biadoliny radłowskie
Biadoliny Szlacheckie;biadoliny szlacheckie
Biadów;biadów
Biady;biady
Bialiki;bialiki
Bialskie Pole;bialskie pole
Biała;biała
Biała Błotna;biała błotna
Biała Cegielnia;biała cegielnia
Biała Dolina;biała dolina
Biała Dolna;biała dolna
Biała Droga;biała droga
Biała Druga;biała druga
Biała Druga-Kolonia;biała druga-kolonia
Biała Giżycka;biała giżycka
Biała Glina;biała glina
Biała Góra;biała góra
Biała Górka;biała górka
Biała Górna;biała górna
Biała Kępa;biała kępa
Biała Kolonia;biała kolonia
Biała Królikowska;biała królikowska
Biała Leśna;biała leśna
Biała Leśniczówka;biała leśniczówka
Biała Niżna;biała niżna
Biała Noga;biała noga
Biała Nyska;biała nyska
Biała Olecka;biała olecka
Biała Panieńska;biała panieńska
Biała Pierwsza;biała pierwsza
Biała Piska;biała piska
Biała Podlaska;biała podlaska
Biała Poduchowna;biała poduchowna
Biała Rawska;biała rawska
Biała Róża;biała róża
Biała Rządowa;biała rządowa
Biała Rzeka;biała rzeka
Biała Straż;biała straż
Biała Wielka;biała wielka
Biała Wieś;biała wieś
Biała Woda;biała woda
Biała Wola;biała wola
Biała Wyżna;biała wyżna
Biała-Bagno;biała-bagno
Białachowo;białachowo
Białachówko;białachówko
Białacz;białacz
Białaczów;białaczów
Biała-Kolonia;biała-kolonia
Biała-Kopiec;biała-kopiec
Biała-Parcela;biała-parcela
Biała-Parcela Druga;biała-parcela druga
Biała-Parcela Trzecia;biała-parcela trzecia
Białasówka;białasówka
Białasy;białasy
Białaszewo;białaszewo
Białaszewo-Kolonia;białaszewo-kolonia
Białawin;białawin
Białawoda;białawoda
Białawy;białawy
Białawy Małe;białawy małe
Białawy Wielkie;białawy wielkie
Białcz;białcz
Białczyk;białczyk
Białczyn;białczyn
Białe;białe
Białe Błota;białe błota
Białe Błoto;białe błoto
Białe Jeziorki;białe jeziorki
Białe Piątkowo;białe piątkowo
Białebłoto-Kobyla;białebłoto-kobyla
Białebłoto-Kurza;białebłoto-kurza
Białebłoto-Stara Wieś;białebłoto-stara wieś
Białe-Chorosze;białe-chorosze
Białe-Figle;białe-figle
Białe-Giezki;białe-giezki
Białek;białek
Białe-Kwaczoły;białe-kwaczoły
Białe-Misztale;białe-misztale
Białe-Papieże;białe-papieże
Białe-Szczepanowice;białe-szczepanowice
Białe-Zieje;białe-zieje
Białęciniec;białęciniec
Białęcinko;białęcinko
Białęcino;białęcino
Białęgi;białęgi
Białężyce;białężyce
Białężyn;białężyn
Białka;białka
Białka Tatrzańska;białka tatrzańska
Białka-Kolonia;białka-kolonia
Białki;białki
Białki Dolne;białki dolne
Białki Górne;białki górne
Białkowice;białkowice
Białkowice-Młyn;białkowice-młyn
Białkowo;białkowo
Białkowska Góra;białkowska góra
Białków;białków
Białków Górny;białków górny
Białków Kościelny;białków kościelny
Białkówek;białkówek
Białkówka;białkówka
Białobiel;białobiel
Białobłocie;białobłocie
Białobłockie;białobłockie
Białobłota;białobłota
Białobłoty;białobłoty
Białoboki;białoboki
Białoborze;białoborze
Białobór;białobór
Białobród-Folwark;białobród-folwark
Białobród-Kolonia;białobród-kolonia
Białobrzeg;białobrzeg
Białobrzeg Bliższy;białobrzeg bliższy
Białobrzeg Dalszy;białobrzeg dalszy
Białobrzeg Ratajski;białobrzeg ratajski
Białobrzegi;białobrzegi
Białobrzegi-Kolonia;białobrzegi-kolonia
Białobrzeskie;białobrzeskie
Białobrzezie;białobrzezie
Białobrzeżki-Gajówka;białobrzeżki-gajówka
Białochowo;białochowo
Białocin;białocin
Białogard;białogard
Białogarda;białogarda
Białoglina;białoglina
Białogon;białogon
Białogorce;białogorce
Białogóra;białogóra
Białogórne;białogórne
Białogóry;białogóry
Białogórze;białogórze
Białogórzynko;białogórzynko
Białogórzyno;białogórzyno
Białogrądy;białogrądy
Białojanków;białojanków
Białojany;białojany
Białokosz;białokosz
Białokoszek;białokoszek
Białokoszyce;białokoszyce
Białokury;białokury
Białołęka;białołęka
Białołęka Dworska;białołęka dworska
Białomącze;białomącze
Białonie;białonie
Białoniowa;białoniowa
Białoniówka;białoniówka
Białoń;białoń
Białopole;białopole
Białopole-Kolonia;białopole-kolonia
Białorogi;białorogi
Białorzeczka;białorzeczka
Białorzeka;białorzeka
Białoskóry;białoskóry
Białostoczek;białostoczek
Białosuknia;białosuknia
Białośliwie;białośliwie
Białotarsk;białotarsk
Białotul;białotul
Białousy;białousy
Białowąs;białowąs
Białowice;białowice
Białowierśnie;białowierśnie
Białowieża;białowieża
Białowieżyn;białowieżyn
Białowoda;białowoda
Białowody;białowody
Białowody-Kolonia;białowody-kolonia
Białowola;białowola
Białożewin;białożewin
Białówka;białówka
Białuń;białuń
Białusny Lasek;białusny lasek
Białutki;białutki
Białuty;białuty
Białuty-Kolonia;białuty-kolonia
Biały Bór;biały bór
Biały Brzeg;biały brzeg
Biały Bukowiec;biały bukowiec
Biały Domek;biały domek
Biały Dół;biały dół
Biały Dunajec;biały dunajec
Biały Dwór;biały dwór
Biały Grunt;biały grunt
Biały Kamień;biały kamień
Biały Klasztor;biały klasztor
Biały Kościół;biały kościół
Biały Krzyż;biały krzyż
Biały Ług;biały ług
Biały Ług Długi;biały ług długi
Biały Ług Krótki;biały ług krótki
Biały Ług-Kolonia;biały ług-kolonia
Biały Młyn;biały młyn
Biały Ogon;biały ogon
Biały Potok;biały potok
Biały Słup;biały słup
Biały Zdrój;biały zdrój
Białykał;białykał
Białynia;białynia
Białynin;białynin
Białynin-Latków;białynin-latków
Białynin-Podbór;białynin-podbór
Białynin-Południe;białynin-południe
Białystoczek;białystoczek
Białystok;białystok
Białyszewo;białyszewo
Białyszewo-Towarzystwo;białyszewo-towarzystwo
Biardy;biardy
Bibiampol;bibiampol
Bibiampol-Borki;bibiampol-borki
Bibianki;bibianki
Bibianna;bibianna
Bibianów;bibianów
Bibiarze;bibiarze
Bibice;bibice
Bibiela;bibiela
Bibijampol Mały;bibijampol mały
Bichniów;bichniów
Bicz;bicz
Biczaki;biczaki
Biczki;biczki
Bicz-Ostatki;bicz-ostatki
Biczyce Dolne;biczyce dolne
Biczyce Górne;biczyce górne
Bidakowo;bidakowo
Bidziny;bidziny
Bidziny Poduchowne;bidziny poduchowne
Bidziny-Folwark;bidziny-folwark
Bidziny-Kolonia;bidziny-kolonia
Bidzińszczyzna;bidzińszczyzna
Biebrowo;biebrowo
Biebrówek;biebrówek
Biebrza;biebrza
Biechowo;biechowo
Biechowy;biechowy
Biechów;biechów
Biechów Dolny;biechów dolny
Biechów Duży;biechów duży
Biechówko;biechówko
Biechów-Kolonie;biechów-kolonie
Biecz;biecz
Bieczewo;bieczewo
Bieczynko;bieczynko
Bieczyno;bieczyno
Bieczyny;bieczyny
Biedacz;biedacz
Biedaczek;biedaczek
Biedaczów;biedaczów
Biedaki;biedaki
Biedaków;biedaków
Biedaszek;biedaszek
Biedaszka;biedaszka
Biedaszki;biedaszki
Biedaszki Małe;biedaszki małe
Biedaszkowo;biedaszkowo
Biedaszków;biedaszków
Biedaszków Mały;biedaszków mały
Biedaszków Wielki;biedaszków wielki
Biedaszkówko;biedaszkówko
Biedawa;biedawa
Biedkowo;biedkowo
Biedkowo-Osada;biedkowo-osada
Biedocin;biedocin
Biedoszyce;biedoszyce
Biedowa;biedowa
Biedowo;biedowo
Biedów;biedów
Biedówka;biedówka
Biedówko;biedówko
Biedrawowa;biedrawowa
Biedronie;biedronie
Biedroniowa;biedroniowa
Biedroniówka;biedroniówka
Biedrusko;biedrusko
Biedrzyce-Koziegłowy;biedrzyce-koziegłowy
Biedrzyce-Stara Wieś;biedrzyce-stara wieś
Biedrzychowa;biedrzychowa
Biedrzychowice;biedrzychowice
Biedrzychowice Dolne;biedrzychowice dolne
Biedrzychowice Górne;biedrzychowice górne
Biedrzychów;biedrzychów
Biedrzykowice;biedrzykowice
Biedulina;biedulina
Bieduszki;bieduszki
Bieduśki;bieduśki
Biedziny;biedziny
Biegałka;biegałka
Bieganiec;bieganiec
Bieganin;bieganin
Bieganinek;bieganinek
Bieganowo;bieganowo
Bieganów;bieganów
Bieganówek;bieganówek
Bieglów;bieglów
Biegodzin;biegodzin
Biegonice;biegonice
Biegonity;biegonity
Biegoszów;biegoszów
Biegun;biegun
Bieguni;bieguni
Bieguny;bieguny
Biejkowska Wola;biejkowska wola
Biejków;biejków
Biekieszówka;biekieszówka
Biel;biel
Biela;biela
Bielaki;bielaki
Bielanka;bielanka
Bielanki;bielanki
Bielanowszczyzna;bielanowszczyzna
Bielany;bielany
Bielany Duże;bielany duże
Bielany Małe;bielany małe
Bielany Trzecie;bielany trzecie
Bielany Wrocławskie;bielany wrocławskie
Bielany-Borysy;bielany-borysy
Bielany-Jarosławy;bielany-jarosławy
Bielany-Łąki;bielany-łąki
Bielany-Wąsy;bielany-wąsy
Bielany-Żyłaki;bielany-żyłaki
Bielańscy;bielańscy
Bielańskie;bielańskie
Bielańskówka;bielańskówka
Bielarze;bielarze
Bielasy;bielasy
Bielawa;bielawa
Bielawa Dolna;bielawa dolna
Bielawa Górna;bielawa górna
Bielawka;bielawka
Bielawki;bielawki
Bielawska Wieś;bielawska wieś
Bielawski Las;bielawski las
Bielawy;bielawy
Bielawy Gołuskie;bielawy gołuskie
Bielawy Jabłońskie;bielawy jabłońskie
Bielawy Pogorzelskie;bielawy pogorzelskie
Bielawy Szelejewskie;bielawy szelejewskie
Bielcza;bielcza
Bielczyny;bielczyny
Biele;biele
Bielecczyzna;bielecczyzna
Bielecha;bielecha
Bieleckie;bieleckie
Bieleckie Młyny;bieleckie młyny
Bieleckówka;bieleckówka
Bielejewo;bielejewo
Bielejewo Leśne;bielejewo leśne
Bieleń;bieleń
Bielewicze;bielewicze
Bielewo;bielewo
Bielica;bielica
Bielice;bielice
Bielice Nowe;bielice nowe
Bielicha;bielicha
Bielicki Młyn;bielicki młyn
Bieliczki;bieliczki
Bieliki;bieliki
Bielikowo;bielikowo
Bielin;bielin
Bielina;bielina
Bielinek;bielinek
Bieliniec;bieliniec
Bielino;bielino
Bieliny;bieliny
Bieliszów;bieliszów
Bielizny;bielizny
Bielki;bielki
Bielkowo;bielkowo
Bielkówko;bielkówko
Bielne;bielne
Bielnik Drugi;bielnik drugi
Bielnik Pierwszy;bielnik pierwszy
Bielowa;bielowa
Bielowice;bielowice
Bielowicko;bielowicko
Bielowy;bielowy
Bielów;bielów
Bielówka;bielówka
Bielówka Niżna;bielówka niżna
Bielówka Wyżna;bielówka wyżna
Bielscy;bielscy
Bielsk;bielsk
Bielsk Podlaski;bielsk podlaski
Bielska Struga;bielska struga
Bielskie;bielskie
Bielskie Budy;bielskie budy
Bielskie Wybudowanie;bielskie wybudowanie
Bielsko;bielsko
Bielsko-Biała;bielsko-biała
Bielszczyzna;bielszczyzna
Bielszowice;bielszowice
Biełki;biełki
Bienaszówka;bienaszówka
Bienduszka;bienduszka
Bieniadka;bieniadka
Bieniasze;bieniasze
Bieniaszowice;bieniaszowice
Bieniądzice;bieniądzice
Bienice;bienice
Bieniczki;bieniczki
Bienie;bienie
Bieniec;bieniec
Bieniek;bieniek
Bieniew;bieniew
Bieniewice;bieniewice
Bieniewiec;bieniewiec
Bieniewo;bieniewo
Bieniewo-Parcela;bieniewo-parcela
Bieniewo-Wieś;bieniewo-wieś
Bieniędzice;bieniędzice
Bieniowce;bieniowce
Bieniowce-Kolonia;bieniowce-kolonia
Bieniowice;bieniowice
Bieniowiec;bieniowiec
Bieniów;bieniów
Bieniówka;bieniówka
Bieniszew;bieniszew
Bieniszew-Klasztor;bieniszew-klasztor
Bień;bień
Bieńczyce;bieńczyce
Bieńdziuga;bieńdziuga
Bieńki;bieńki
Bieńki-Bucice;bieńki-bucice
Bieńki-Karkuty;bieńki-karkuty
Bieńki-Skrzekoty;bieńki-skrzekoty
Bieńki-Śmietanki;bieńki-śmietanki
Bieńkowice;bieńkowice
Bieńkowo;bieńkowo
Bieńkowski Wierch;bieńkowski wierch
Bieńkowszczyzna;bieńkowszczyzna
Bieńków;bieńków
Bieńkówka;bieńkówka
Bieńkula;bieńkula
Bieńskie;bieńskie
Bierawa;bierawa
Bierce;bierce
Biercza;biercza
Bierdzany;bierdzany
Bierdzańska Kolonia;bierdzańska kolonia
Bierdzież;bierdzież
Bierkowice;bierkowice
Bierkowo;bierkowo
Bierna;bierna
Bierna Mała;bierna mała
Biernacice;biernacice
Biernaciki;biernaciki
Biernatka;biernatka
Biernatki;biernatki
Biernatowo;biernatowo
Biernatów;biernatów
Biernatówek;biernatówek
Biernatówka;biernatówka
Biernaty;biernaty
Biernaty Średnie;biernaty średnie
Biernik;biernik
Bierniki;bierniki
Biernów;biernów
Bierówka;bierówka
Bierówki;bierówki
Bierska;bierska
Biertowice;biertowice
Biertułtowy;biertułtowy
Bieruń;bieruń
Bieruń Nowy;bieruń nowy
Bieruń Stary;bieruń stary
Bierutowice;bierutowice
Bierutowo;bierutowo
Bierutów;bierutów
Bierwce;bierwce
Bierwicha;bierwicha
Bierwiecka Wola;bierwiecka wola
Biery;biery
Bieryty;bieryty
Bierzewice;bierzewice
Bierzglin;bierzglin
Bierzglinek;bierzglinek
Bierzgło;bierzgło
Bierzgłowo;bierzgłowo
Bierzmo;bierzmo
Bierzmo Duże;bierzmo duże
Bierzów;bierzów
Bierzwienna Długa;bierzwienna długa
Bierzwienna Długa-Kolonia;bierzwienna długa-kolonia
Bierzwienna Krótka;bierzwienna krótka
Bierzwnica;bierzwnica
Bierzwnik;bierzwnik
Bierzyce;bierzyce
Bierzyn;bierzyn
Bierzynek;bierzynek
Bierzysko;bierzysko
Bierżałowce;bierżałowce
Bierżynie;bierżynie
Biesaki;biesaki
Biesal;biesal
Biesiadki;biesiadki
Biesiec;biesiec
Biesiekierz;biesiekierz
Bieski;bieski
Bieskowo;bieskowo
Biesna;biesna
Biesowice;biesowice
Biesowiczki;biesowiczki
Biesowo;biesowo
Biesów;biesów
Biesówko;biesówko
Biestrzykowice;biestrzykowice
Biestrzykowo;biestrzykowo
Biestrzyków;biestrzyków
Biestrzyków Mały;biestrzyków mały
Biestrzyków Wielki;biestrzyków wielki
Biestrzynnik;biestrzynnik
Biesy;biesy
Bieszewo;bieszewo
Bieszkowice;bieszkowice
Bieszków;bieszków
Bieszków Dolny;bieszków dolny
Bieszków Górny;bieszków górny
Bieszkówko;bieszkówko
Bieślin;bieślin
Bieśnik;bieśnik
Bieśno;bieśno
Bietowo;bietowo
Biezdrowo;biezdrowo
Biezdrowo-Huby;biezdrowo-huby
Biezdrowo-Osady;biezdrowo-osady
Bieździadka;bieździadka
Bieździadów;bieździadów
Bieździedza;bieździedza
Bieżanów;bieżanów
Bieżany;bieżany
Bieżeń;bieżeń
Bieżuń;bieżuń
Bieżyce;bieżyce
Bieżyń;bieżyń
Bieżywody;bieżywody
Bięcino;bięcino
Bigosy;bigosy
Bigórzówka;bigórzówka
Biguszewo;biguszewo
Bihale;bihale
Bijasowice;bijasowice
Bijatowo;bijatowo
Bikowa Góra;bikowa góra
Bikówek;bikówek
Bikówka;bikówka
Bilcza;bilcza
Bilcza-Folwark;bilcza-folwark
Bilczew;bilczew
Bilczów;bilczów
Bilczyce;bilczyce
Bileńska Kolonia;bileńska kolonia
Bilew;bilew
Bilinówka;bilinówka
Bilminy;bilminy
Bilno;bilno
Bilska Wola;bilska wola
Bilska Wola-Kolonia;bilska wola-kolonia
Bilskie;bilskie
Bilsko;bilsko
Bilwinki;bilwinki
Bilwinowo;bilwinowo
Biła;biła
Biłgoraj;biłgoraj
Biłgoraje;biłgoraje
Biłki;biłki
Biłkówka;biłkówka
Binarowa;binarowa
Binczarki;binczarki
Binczarowa;binczarowa
Bindasówka;bindasówka
Binduga;binduga
Bindugi;bindugi
Bindużka;bindużka
Binek;binek
Biniątki;biniątki
Biniew;biniew
Biniewo;biniewo
Binino;binino
Binkowice;binkowice
Binkowo;binkowo
Binków;binków
Binowo;binowo
Binówko;binówko
Bińcze;bińcze
Bińkówka;bińkówka
Biodry;biodry
Biórków Mały;biórków mały
Biórków Wielki;biórków wielki
Bircza;bircza
Bisagi;bisagi
Biskówka Czajkowska;biskówka czajkowska
Biskupia Górka;biskupia górka
Biskupia Wola;biskupia wola
Biskupice;biskupice
Biskupice Melsztyńskie;biskupice melsztyńskie
Biskupice Oławskie;biskupice oławskie
Biskupice Ołoboczne;biskupice ołoboczne
Biskupice Podgórne;biskupice podgórne
Biskupice Radłowskie;biskupice radłowskie
Biskupice Wielkopolskie;biskupice wielkopolskie
Biskupice Zabaryczne;biskupice zabaryczne
Biskupice-Kolonia;biskupice-kolonia
Biskupice-Majątek;biskupice-majątek
Biskupiczki;biskupiczki
Biskupie;biskupie
Biskupie Sarnowskie;biskupie sarnowskie
Biskupiec;biskupiec
Biskupiec Pomorski;biskupiec pomorski
Biskupiec-Kolonia Druga;biskupiec-kolonia druga
Biskupiec-Kolonia Pierwsza;biskupiec-kolonia pierwsza
Biskupiec-Kolonia Trzecia;biskupiec-kolonia trzecia
Biskupie-Kolonia;biskupie-kolonia
Biskupin;biskupin
Biskupnica;biskupnica
Biskupowa;biskupowa
Biskupów;biskupów
